Time;Austria;Belgium;Denmark;Finland;France;Germany;Greece;Ireland;Italy;Luxembourg;Netherlands;Portugal;Spain;Sweden;UnitedKingdom
Jun-2000;4,5;4,5;5,18;4,5;4,5;4,5;8,41;4,5;4,5;4,5;4,5;4,5;4,5;3,94;6,14
Jul-2000;4,58;4,58;5,78;4,58;4,58;4,58;8,16;4,58;4,58;4,58;4,58;4,58;4,58;4,03;6,11
Aug-2000;4,78;4,78;5,66;4,78;4,78;4,78;8,06;4,78;4,78;4,78;4,78;4,78;4,78;4;6,14
sept-00;4,85;4,85;6,1;4,85;4,85;4,85;7,57;4,85;4,85;4,85;4,85;4,85;4,85;3,94;6,12
oct-00;5,04;5,04;5,55;5,04;5,04;5,04;7,03;5,04;5,04;5,04;5,04;5,04;5,04;3,99;6,08
nov-00;5,09;5,09;5,5;5,09;5,09;5,09;6,25;5,09;5,09;5,09;5,09;5,09;5,09;4;6
Dec-2000;4,94;4,94;5,39;4,94;4,94;4,94;5,21;4,94;4,94;4,94;4,94;4,94;4,94;4,07;5,89
janv-01;4,77;4,77;5,34;4,77;4,77;4,77;4,77;4,77;4,77;4,77;4,77;4,77;4,77;4,07;5,76
Feb-2001;4,76;4,76;5,27;4,76;4,76;4,76;4,76;4,76;4,76;4,76;4,76;4,76;4,76;4,1;5,69
mars-01;4,71;4,71;5,16;4,71;4,71;4,71;4,71;4,71;4,71;4,71;4,71;4,71;4,71;4,06;5,47
Apr-2001;4,68;4,68;5,13;4,68;4,68;4,68;4,68;4,68;4,68;4,68;4,68;4,68;4,68;3,94;5,33
May-2001;4,64;4,64;5,11;4,64;4,64;4,64;4,64;4,64;4,64;4,64;4,64;4,64;4,64;4,01;5,17
Jun-2001;4,45;4,45;4,96;4,45;4,45;4,45;4,45;4,45;4,45;4,45;4,45;4,45;4,45;4,17;5,19
Jul-2001;4,47;4,47;4,93;4,47;4,47;4,47;4,47;4,47;4,47;4,47;4,47;4,47;4,47;4,31;5,19
Aug-2001;4,35;4,35;4,81;4,35;4,35;4,35;4,35;4,35;4,35;4,35;4,35;4,35;4,35;4,28;4,93
sept-01;3,98;3,98;4,43;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;3,98;4,01;4,65
oct-01;3,6;3,6;3,96;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,6;3,7;4,36
nov-01;3,39;3,39;3,7;3,39;3,39;3,39;3,39;3,39;3,39;3,39;3,39;3,39;3,39;;3,93
Dec-2001;3,34;3,34;3,64;3,34;3,34;3,34;3,34;3,34;3,34;3,34;3,34;3,34;3,34;3,71;3,99
janv-02;3,34;3,34;3,63;3,34;3,34;3,34;3,34;3,34;3,34;3,34;3,34;3,34;3,34;3,74;3,98
Feb-2002;3,36;3,36;3,6;3,36;3,36;3,36;3,36;3,36;3,36;3,36;3,36;3,36;3,36;3,87;3,98
mars-02;3,39;3,39;3,64;3,39;3,39;3,39;3,39;3,39;3,39;3,39;3,39;3,39;3,39;4,09;4,06
Apr-2002;3,41;3,41;3,67;3,41;3,41;3,41;3,41;3,41;3,41;3,41;3,41;3,41;3,41;4,25;4,11
May-2002;3,47;3,47;3,73;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;3,47;4,29;4,08
Jun-2002;3,46;3,46;3,73;3,46;3,46;3,46;3,46;3,46;3,46;3,46;3,46;3,46;3,46;4,28;4,11
Jul-2002;3,41;3,41;3,68;3,41;3,41;3,41;3,41;3,41;3,41;3,41;3,41;3,41;3,41;4,26;3,99
