,STS.M.AT.S.UNEH.RTT000.4.000,STS.M.BE.S.UNEH.RTT000.4.000,STS.M.DE.S.UNEH.RTT000.4.000,STS.M.DK.S.UNEH.RTT000.4.000,STS.M.ES.S.UNEH.RTT000.4.000,STS.M.FI.S.UNEH.RTT000.4.000,STS.M.FR.S.UNEH.RTT000.4.000,STS.M.GB.S.UNEH.RTT000.4.000,STS.M.GR.S.UNEH.RTT000.4.000,STS.M.IE.S.UNEH.RTT000.4.000,STS.M.IT.S.UNEH.RTT000.4.000,STS.M.LU.S.UNEH.RTT000.4.000,STS.M.NL.S.UNEH.RTT000.4.000,STS.M.PT.S.UNEH.RTT000.4.000,STS.M.SE.S.UNEH.RTT000.4.000
2008Feb,4.290000,7.120000,7.830000,3.130000,9.150000,6.260000,7.090000,5.100000,8.040000,5.020000,6.560000,4.450000,3.650000,8.520000,5.830000
2008Jan,4.260000,7.220000,7.940000,3.320000,8.960000,6.360000,7.180000,5.080000,7.850000,4.990000,6.470000,4.290000,3.850000,8.640000,5.990000
2007Dec,4.300000,7.250000,8.070000,3.310000,8.780000,6.500000,7.280000,5.040000,8.100000,4.990000,6.600000,4.200000,3.900000,8.750000,5.980000
2007Nov,4.530000,7.210000,8.200000,3.650000,8.590000,6.640000,7.450000,5.010000,8.030000,4.950000,6.140000,4.210000,3.950000,8.880000,5.960000
2007Oct,4.640000,7.160000,8.300000,3.700000,8.470000,6.760000,7.670000,5.110000,8.210000,4.780000,6.170000,4.130000,4.000000,8.940000,6.240000
2007Sep,4.770000,6.960000,8.380000,4.080000,8.440000,6.860000,7.860000,5.180000,8.230000,4.630000,6.100000,4.040000,4.050000,8.900000,6.110000
2007Aug,5.020000,7.070000,8.430000,3.970000,8.400000,6.910000,8.000000,5.250000,8.240000,4.570000,6.140000,4.060000,4.080000,9.120000,6.010000
2007Jul,5.060000,7.250000,8.490000,3.960000,8.240000,6.920000,8.060000,5.260000,8.220000,4.570000,6.320000,4.030000,4.200000,9.150000,5.820000
2007Jun,5.030000,7.550000,8.560000,3.680000,8.090000,6.910000,8.030000,5.240000,8.260000,4.660000,5.980000,4.090000,4.090000,9.160000,6.180000
2007May,5.190000,7.900000,8.640000,3.580000,7.940000,6.900000,8.110000,5.300000,8.390000,4.650000,6.050000,4.090000,4.170000,9.280000,5.910000
2007Apr,5.100000,8.000000,8.740000,3.540000,7.930000,6.920000,8.210000,5.360000,8.570000,4.680000,5.830000,4.210000,4.180000,9.420000,6.110000
2007Mar,4.940000,7.800000,8.870000,3.670000,7.960000,6.990000,8.360000,5.470000,8.850000,4.640000,5.870000,4.340000,4.290000,9.280000,6.460000
2007Feb,4.940000,7.810000,9.030000,3.910000,8.030000,7.090000,8.460000,5.500000,8.870000,4.610000,5.910000,4.390000,4.490000,9.300000,6.210000
2007Jan,5.030000,7.860000,9.220000,4.100000,8.130000,7.180000,8.430000,5.500000,8.890000,4.510000,6.260000,4.470000,4.530000,9.260000,6.550000
2006Dec,5.000000,7.900000,9.420000,3.810000,8.230000,7.270000,8.320000,5.430000,8.960000,4.390000,6.210000,4.590000,4.600000,9.200000,6.450000
2006Nov,4.930000,7.950000,9.590000,3.620000,8.260000,7.380000,8.330000,5.410000,8.990000,4.320000,6.480000,4.620000,4.710000,9.230000,6.610000
2006Oct,4.900000,7.810000,9.730000,3.550000,8.310000,7.480000,8.490000,5.350000,8.520000,4.400000,6.590000,4.620000,4.740000,9.250000,6.590000
2006Sep,4.900000,7.660000,9.830000,3.630000,8.350000,7.580000,8.710000,5.420000,8.580000,4.590000,6.650000,4.670000,4.760000,9.080000,6.650000
2006Aug,4.930000,7.560000,9.900000,3.720000,8.430000,7.660000,8.940000,5.440000,8.660000,4.760000,6.630000,4.540000,4.820000,8.730000,7.000000
2006Jul,5.210000,7.830000,9.970000,3.830000,8.460000,7.730000,8.960000,5.430000,8.750000,4.690000,6.550000,4.470000,4.930000,8.770000,6.970000
2006Jun,5.270000,8.460000,10.070000,3.980000,8.440000,7.790000,8.910000,5.430000,8.910000,4.590000,6.610000,4.500000,4.950000,8.630000,6.970000
2006May,5.090000,8.780000,10.200000,4.100000,8.520000,7.840000,8.900000,5.420000,9.050000,4.490000,7.040000,4.510000,5.170000,8.660000,7.180000
2006Apr,5.300000,8.780000,10.320000,4.180000,8.540000,7.880000,8.990000,5.380000,9.220000,4.450000,6.970000,4.550000,5.190000,8.670000,7.760000
2006Mar,5.670000,8.670000,10.420000,4.180000,8.640000,7.910000,9.080000,5.280000,9.260000,4.490000,7.100000,4.660000,5.330000,8.700000,7.440000
2006Feb,5.770000,8.580000,10.500000,4.190000,8.650000,7.970000,9.130000,5.170000,9.530000,4.490000,7.310000,4.540000,5.460000,8.650000,7.110000
2006Jan,5.680000,8.440000,10.580000,4.110000,8.690000,8.040000,9.110000,5.110000,9.500000,4.470000,7.320000,4.490000,5.500000,8.750000,7.930000
2005Dec,5.660000,8.400000,10.690000,4.080000,8.730000,8.110000,9.070000,5.090000,9.650000,4.340000,7.470000,4.690000,5.700000,8.840000,7.710000
2005Nov,5.720000,8.360000,10.830000,4.150000,8.700000,8.150000,9.060000,5.130000,9.750000,4.310000,7.450000,4.630000,5.750000,9.010000,7.190000
2005Oct,5.790000,8.400000,10.970000,4.280000,8.660000,8.140000,9.040000,5.050000,10.010000,4.280000,7.760000,4.620000,5.800000,9.040000,7.970000
2005Sep,5.680000,8.530000,11.100000,4.530000,8.610000,8.150000,9.000000,4.880000,10.130000,4.340000,7.680000,4.630000,5.810000,9.060000,7.400000
2005Aug,5.660000,8.470000,11.190000,4.730000,8.700000,8.200000,8.970000,4.620000,10.120000,4.470000,7.580000,4.530000,5.830000,8.960000,7.820000
2005Jul,5.720000,8.470000,11.230000,4.950000,8.920000,8.270000,8.910000,4.590000,10.090000,4.560000,7.630000,4.530000,5.910000,8.990000,8.060000
2005Jun,5.830000,8.410000,11.240000,4.970000,9.160000,8.330000,8.860000,4.630000,10.000000,4.670000,7.840000,4.610000,5.910000,8.750000,8.150000
2005May,5.780000,8.470000,11.190000,5.030000,9.420000,8.380000,8.810000,4.700000,10.050000,4.700000,7.550000,4.670000,6.010000,8.610000,7.910000
2005Apr,5.640000,8.320000,11.080000,5.190000,9.620000,8.450000,8.710000,4.710000,10.090000,4.550000,7.870000,4.700000,6.010000,8.670000,7.570000
2005Mar,5.480000,8.440000,10.940000,5.240000,9.690000,8.540000,8.640000,4.630000,10.040000,4.290000,7.810000,4.650000,6.030000,8.530000,7.260000
2005Feb,5.390000,8.380000,10.860000,5.230000,9.810000,8.660000,8.630000,4.640000,10.140000,4.110000,7.990000,4.760000,6.030000,8.410000,7.800000
2005Jan,5.380000,8.230000,10.750000,5.280000,10.010000,8.740000,8.700000,4.720000,10.260000,4.180000,7.830000,4.760000,5.910000,8.330000,6.980000
2004Dec,5.450000,8.120000,10.670000,5.310000,10.270000,8.720000,8.870000,4.730000,10.330000,4.400000,7.810000,4.920000,5.890000,8.260000,7.470000
2004Nov,5.460000,8.170000,10.590000,5.340000,10.540000,8.650000,8.950000,4.700000,10.430000,4.450000,7.960000,5.030000,5.740000,8.080000,7.530000
2004Oct,5.580000,8.500000,10.510000,5.440000,10.710000,8.590000,8.920000,4.660000,10.380000,4.460000,7.800000,4.960000,5.730000,8.120000,7.100000
2004Sep,5.730000,8.940000,10.440000,5.590000,10.910000,8.610000,8.890000,4.600000,10.370000,4.340000,7.770000,5.090000,5.660000,8.110000,7.800000
2004Aug,5.510000,8.950000,10.380000,5.590000,11.020000,8.710000,8.840000,4.600000,10.420000,4.230000,7.730000,5.060000,5.640000,8.030000,7.270000
2004Jul,5.200000,8.540000,10.340000,5.600000,11.050000,8.810000,8.810000,4.640000,10.480000,4.240000,7.870000,5.040000,5.670000,7.770000,7.160000
2004Jun,5.120000,7.880000,10.300000,5.460000,11.180000,8.920000,8.770000,4.710000,10.500000,4.310000,7.890000,5.010000,5.800000,7.840000,7.430000
2004May,5.390000,7.560000,10.280000,5.350000,11.200000,9.010000,8.750000,4.730000,10.590000,4.450000,8.070000,4.950000,5.780000,7.700000,7.590000
2004Apr,5.610000,7.660000,10.270000,5.460000,11.240000,9.040000,8.800000,4.740000,10.620000,4.590000,8.010000,5.020000,5.720000,7.420000,7.130000
2004Mar,5.610000,8.290000,10.260000,5.520000,11.120000,8.990000,8.920000,4.730000,10.810000,4.860000,8.200000,4.890000,5.540000,7.280000,7.430000
2004Feb,5.570000,8.590000,10.130000,5.660000,11.200000,8.950000,8.970000,4.700000,10.910000,4.920000,8.070000,4.700000,5.430000,7.290000,7.560000
2004Jan,5.660000,8.680000,9.780000,5.760000,11.280000,8.950000,8.950000,4.710000,11.160000,4.840000,8.190000,4.640000,5.400000,7.180000,7.010000
2003Dec,5.210000,8.530000,9.770000,5.830000,11.360000,8.950000,8.950000,4.800000,9.880000,4.560000,8.170000,4.390000,5.370000,7.350000,7.020000
