,STS.M.AT.S.UNEH.RTT000.4.000,STS.M.BE.S.UNEH.RTT000.4.000,STS.M.DE.S.UNEH.RTT000.4.000,STS.M.DK.S.UNEH.RTT000.4.000,STS.M.ES.S.UNEH.RTT000.4.000,STS.M.FI.S.UNEH.RTT000.4.000,STS.M.FR.S.UNEH.RTT000.4.000,STS.M.GB.S.UNEH.RTT000.4.000,STS.M.GR.S.UNEH.RTT000.4.000,STS.M.IE.S.UNEH.RTT000.4.000,STS.M.IT.S.UNEH.RTT000.4.000,STS.M.LU.S.UNEH.RTT000.4.000,STS.M.NL.S.UNEH.RTT000.4.000,STS.M.PT.S.UNEH.RTT000.4.000,STS.M.SE.S.UNEH.RTT000.4.000
1988Apr,,9.180000,,5.340000,19.090000,4.310000,8.890000,8.810000,6.890000,16.440000,9.670000,2.110000,7.450000,7.120000,1.780000
1988Mar,,9.270000,,5.240000,19.120000,4.400000,8.850000,8.920000,-,16.540000,9.740000,2.190000,7.460000,7.040000,1.910000
1988Feb,,9.360000,,5.160000,19.230000,4.550000,8.910000,9.090000,-,16.510000,9.730000,2.240000,7.470000,7.010000,1.810000
1988Jan,,9.430000,,5.080000,19.340000,4.680000,8.980000,9.250000,-,16.510000,9.730000,2.270000,7.470000,7.030000,2.040000
1987Dec,,9.510000,,5.040000,19.380000,,9.000000,9.430000,-,16.530000,9.730000,2.280000,7.480000,7.350000,1.810000
1987Nov,,9.580000,,5.030000,19.410000,,9.070000,9.560000,-,16.500000,9.710000,2.280000,7.470000,7.470000,1.940000
1987Oct,,9.630000,,5.030000,19.550000,,9.110000,9.780000,-,16.510000,9.760000,2.350000,7.470000,7.580000,1.990000
1987Sep,,9.670000,,5.000000,19.690000,,9.060000,9.990000,-,16.520000,9.820000,2.410000,7.470000,7.660000,1.940000
1987Aug,,9.740000,,4.980000,19.690000,,9.090000,10.120000,-,16.530000,9.820000,2.420000,7.460000,7.720000,2.400000
1987Jul,,9.830000,,4.990000,19.720000,,9.130000,10.300000,-,16.580000,9.830000,2.480000,7.460000,7.850000,2.240000
1987Jun,,9.890000,,5.020000,19.630000,,9.130000,10.470000,6.620000,16.670000,9.930000,2.530000,7.450000,8.090000,2.270000
1987May,,9.930000,,5.040000,19.660000,,9.180000,10.590000,6.620000,16.740000,9.650000,2.560000,7.450000,8.230000,2.270000
1987Apr,,9.970000,,5.020000,19.770000,,9.220000,10.790000,6.630000,16.650000,9.370000,2.630000,7.450000,8.340000,2.340000
1987Mar,,9.970000,,5.000000,19.920000,,9.240000,10.870000,-,16.660000,9.290000,2.610000,7.440000,8.550000,2.440000
1987Feb,,10.020000,,4.990000,20.070000,,9.270000,11.010000,-,16.740000,9.250000,2.480000,7.440000,8.680000,2.430000
1987Jan,,10.080000,,4.970000,20.200000,,9.300000,11.130000,-,16.810000,9.250000,2.430000,7.440000,8.690000,2.310000
1986Dec,,10.070000,,4.930000,20.230000,,9.240000,11.160000,-,16.810000,9.190000,2.350000,7.440000,8.860000,2.560000
1986Nov,,10.070000,,4.880000,20.260000,,9.220000,11.230000,-,16.760000,9.100000,2.260000,7.450000,8.920000,2.660000
1986Oct,,10.040000,,4.850000,20.200000,,9.180000,11.250000,-,16.740000,9.110000,2.300000,7.460000,8.980000,2.570000
1986Sep,,9.960000,,4.860000,20.270000,,9.000000,11.310000,-,16.780000,9.080000,2.390000,7.490000,9.010000,2.590000
1986Aug,,9.970000,,4.890000,20.280000,,8.940000,11.340000,-,16.830000,8.990000,2.460000,7.520000,9.160000,2.620000
1986Jul,,10.050000,,4.910000,20.360000,,8.900000,11.330000,-,16.870000,8.900000,2.520000,7.550000,9.370000,2.540000
1986Jun,,10.090000,,4.900000,20.390000,,8.800000,11.300000,6.630000,16.900000,8.820000,2.650000,7.600000,9.690000,2.600000
1986May,,10.090000,,4.920000,20.490000,,8.760000,11.270000,6.640000,16.850000,8.780000,2.720000,7.650000,9.840000,2.760000
1986Apr,,10.090000,,5.010000,20.560000,,8.720000,11.250000,6.640000,16.820000,8.750000,2.650000,7.700000,9.940000,2.630000
1986Mar,,10.070000,,5.120000,,,8.600000,11.220000,-,16.850000,8.640000,2.740000,7.760000,10.070000,2.890000
1986Feb,,10.050000,,5.220000,,,8.590000,11.130000,-,16.820000,8.560000,2.800000,7.830000,10.110000,2.940000
1986Jan,,10.020000,,5.380000,,,8.620000,11.160000,-,16.940000,8.510000,2.760000,7.900000,10.130000,2.710000
1985Dec,,9.970000,,5.570000,,,8.670000,11.160000,-,16.970000,8.490000,2.780000,7.990000,10.080000,2.820000
1985Nov,,9.930000,,5.760000,,,8.710000,11.140000,-,16.910000,8.420000,2.810000,8.070000,10.010000,2.690000
1985Oct,,9.940000,,5.970000,,,8.720000,11.210000,-,17.000000,8.330000,2.810000,8.150000,9.970000,2.600000
1985Sep,,9.940000,,6.190000,,,8.670000,11.190000,-,17.070000,8.260000,2.820000,8.240000,10.040000,2.840000
1985Aug,,9.930000,,6.380000,,,8.660000,11.230000,-,17.020000,8.220000,2.890000,8.320000,9.970000,2.790000
1985Jul,,9.940000,,6.570000,,,8.660000,11.250000,-,16.930000,8.180000,2.980000,8.410000,9.860000,2.830000
1985Jun,,10.030000,,6.790000,,,8.700000,11.250000,7.010000,16.810000,8.110000,3.030000,8.490000,9.800000,2.920000
1985May,,10.140000,,6.980000,,,8.660000,11.310000,7.020000,16.730000,8.030000,3.020000,8.580000,9.780000,3.010000
1985Apr,,10.240000,,7.100000,,,8.670000,11.270000,7.020000,16.710000,7.990000,2.950000,8.660000,9.750000,2.970000
1985Mar,,10.400000,,7.240000,,,8.690000,11.210000,-,16.650000,7.990000,2.860000,8.740000,9.650000,3.010000
1985Feb,,10.580000,,7.340000,,,8.710000,11.200000,-,16.550000,8.010000,2.830000,8.820000,9.590000,2.900000
1985Jan,,10.590000,,7.380000,,,8.730000,11.150000,-,16.340000,7.950000,2.800000,8.890000,9.630000,3.110000
1984Dec,,10.630000,,7.450000,,,8.770000,11.120000,-,16.150000,7.850000,2.840000,8.970000,9.790000,2.900000
1984Nov,,10.730000,,7.550000,,,8.780000,11.080000,-,16.000000,7.770000,2.960000,9.040000,9.850000,2.980000
1984Oct,,10.790000,,7.680000,,,8.750000,11.020000,-,15.840000,7.800000,2.960000,9.100000,9.820000,3.340000
1984Sep,,10.880000,,7.780000,,,8.650000,10.980000,-,15.690000,7.800000,2.930000,9.170000,9.710000,2.870000
1984Aug,,10.890000,,7.850000,,,8.580000,10.890000,-,15.550000,7.770000,3.020000,9.220000,9.650000,3.200000
1984Jul,,10.840000,,7.900000,,,8.500000,10.850000,-,15.480000,7.780000,3.010000,9.270000,9.570000,3.330000
1984Jun,,10.840000,,7.950000,,,8.440000,10.780000,7.300000,15.410000,7.780000,2.940000,9.320000,9.570000,3.180000
1984May,,10.840000,,7.980000,,,8.370000,10.750000,7.300000,15.380000,7.850000,2.910000,9.360000,9.500000,3.300000
1984Apr,,10.840000,,8.080000,,,8.290000,10.680000,7.310000,15.320000,7.880000,2.970000,9.400000,9.460000,3.530000
1984Mar,,10.850000,,8.200000,,,8.220000,10.730000,-,15.180000,7.850000,3.210000,9.430000,9.400000,3.320000
1984Feb,,10.840000,,8.260000,,,8.140000,10.760000,-,15.060000,7.900000,3.300000,9.450000,9.380000,3.420000
1984Jan,,10.860000,,8.310000,,,8.060000,10.720000,-,14.870000,7.930000,3.290000,9.460000,9.350000,3.690000
1983Dec,,10.910000,,8.370000,,,8.000000,10.760000,-,14.730000,7.760000,3.350000,9.480000,9.300000,3.650000
1983Nov,,10.960000,,8.430000,,,7.910000,10.760000,-,14.620000,7.720000,3.350000,9.490000,9.260000,3.680000
1983Oct,,10.980000,,8.440000,,,7.820000,10.780000,-,14.460000,7.610000,3.320000,9.500000,9.280000,3.700000
1983Sep,,10.930000,,8.430000,,,7.700000,10.860000,-,14.260000,7.480000,3.460000,9.510000,9.420000,3.840000
1983Aug,,10.850000,,8.450000,,,7.590000,10.860000,-,14.120000,7.430000,3.650000,9.510000,9.380000,3.820000
1983Jul,,10.800000,,8.480000,,,7.470000,10.940000,-,14.010000,7.410000,3.630000,9.520000,9.200000,3.660000
1983Jun,,10.740000,,8.480000,,,7.380000,10.970000,7.050000,13.880000,7.350000,3.600000,9.520000,8.990000,3.880000
1983May,,10.690000,,8.440000,,,7.210000,10.930000,7.050000,13.720000,7.260000,3.510000,9.520000,8.770000,3.710000
1983Apr,,10.640000,,8.350000,,,7.000000,10.970000,7.040000,13.540000,7.220000,3.330000,9.510000,8.530000,3.420000
1983Mar,,10.570000,,8.250000,,,6.700000,10.820000,,13.370000,7.230000,3.250000,9.510000,8.310000,3.720000
1983Feb,,10.480000,,8.170000,,,6.730000,10.760000,,13.170000,7.060000,3.260000,9.500000,8.130000,3.650000
1983Jan,,10.410000,,8.080000,,,7.060000,10.710000,,12.940000,6.920000,3.320000,9.490000,8.070000,3.350000
